64,Which country is the largest by area?,Canada,China,USA,Russia,Russia
73,Who is known as the "King of Pop"?,Elvis Presley,Prince,Michael Jackson,Freddie Mercury,Michael Jackson
30,Who was the first woman to win a Nobel Prize?,Marie Curie,Jane Austen,Amelia Earhart,Mother Teresa,Marie Curie
52,What is the chemical symbol for silver?,Si,Ag,Au,Sn,Ag
70,What is the smallest country in the world?,Monaco,San Marino,Liechtenstein,Vatican City,Vatican City
9,Which country is known as the Land of the Rising Sun?,China,South Korea,Japan,Thailand,Japan
27,Which animal is known as the King of the Jungle?,Tiger,Lion,Elephant,Leopard,Lion
75,What is the largest island in the world?,Greenland,Australia,New Guinea,Borneo,Greenland
55,Which country is known for inventing pizza?,France,Germany,Italy,Greece,Italy
63,What is the capital of Russia?,Moscow,Kiev,St. Petersburg,Minsk,Moscow
47,What is the currency of India?,Rupee,Dollar,Pound,Yen,Rupee
50,Which city is known as the Big Apple?,Los Angeles,San Francisco,New York,Chicago,New York
54,What is the longest river in the United States?,Missouri,Mississippi,Yukon,Rio Grande,Mississippi
3,Who wrote "Romeo and Juliet"?,Shakespeare,Dickens,Hemingway,Tolkien,Shakespeare
76,What is the capital of Spain?,Lisbon,Barcelona,Madrid,Valencia,Madrid
62,Who invented the light bulb?,Nikola Tesla,Thomas Edison,Alexander Graham Bell,James Watt,Thomas Edison
10,What is the main ingredient in guacamole?,Tomato,Onion,Avocado,Chili,Avocado
32,Who developed the theory of relativity?,Isaac Newton,Nikola Tesla,Albert Einstein,Galileo Galilei,Albert Einstein
39,What is the capital of Australia?,Sydney,Melbourne,Canberra,Brisbane,Canberra
33,What is the largest desert in the world?,Sahara,Arctic,Antarctic,Arabian,Antarctic
36,Who is the author of "Harry Potter" series?,J.K. Rowling,Stephen King,Agatha Christie,George R.R. Martin,J.K. Rowling
22,Who invented the telephone?,Alexander Graham Bell,Thomas Edison,Nikola Tesla,Samuel Morse,Alexander Graham Bell
61,What is the chemical symbol for sodium?,Na,K,Fe,S,Na
57,What is the hardest rock?,Granite,Marble,Diamond,Quartz,Diamond
71,Who developed the first successful polio vaccine?,Alexander Fleming,Marie Curie,Jonas Salk,Edward Jenner,Jonas Salk
51,Who was the first man to walk on the moon?,Buzz Aldrin,Yuri Gagarin,Neil Armstrong,Michael Collins,Neil Armstrong
80,Which element has the chemical symbol O?,Osmium,Gold,Carbon,Oxygen,Oxygen
48,Who wrote "Pride and Prejudice"?,Charlotte Bronte,Jane Austen,Emily Bronte,George Eliot,Jane Austen
25,Who wrote "1984"?,George Orwell,Aldous Huxley,J.K. Rowling,F. Scott Fitzgerald,George Orwell
40,What is the name of the longest bone in the human body?,Femur,Humerus,Radius,Tibia,Femur
12,Who painted the Mona Lisa?,Michelangelo,Van Gogh,Da Vinci,Picasso,Da Vinci
8,What is the hardest natural substance on Earth?,Diamond,Gold,Iron,Platinum,Diamond
31,What is the speed of light?,299,792 km/s,300,000 km/s,150
19,Which is the smallest continent?,Europe,Asia,Australia,Antarctica,Australia
6,What is the chemical symbol for gold?,Au,Ag,Fe,Pt,Au
67,What is the most spoken language in the world?,Spanish,English,Hindi,Mandarin,Mandarin
35,What is the chemical formula for water?,H2O,CO2,O2,NaCl,H2O
46,Which is the only mammal capable of true flight?,Eagle,Bat,Pigeon,Butterfly,Bat
2,Which planet is known as the Red Planet?,Earth,Mars,Jupiter,Saturn,Mars
26,What is the capital of Canada?,Toronto,Ottawa,Montreal,Vancouver,Ottawa
24,In which year did the Titanic sink?,1912,1905,1920,1898,1912
15,What is the square root of 64?,6,7,8,9,8
37,What is the most abundant gas in the Earth's atmosphere?,Oxygen,Carbon Dioxide,Nitrogen,Hydrogen,Nitrogen
38,Which bird is often associated with delivering babies?,Swan,Stork,Pigeon,Eagle,Stork
74,Which continent is the Sahara Desert located on?,Asia,Europe,Africa,Australia,Africa
28,What is the main ingredient in traditional paella?,Chicken,Beef,Pork,Rice,Rice
18,What is the capital of Italy?,Paris,Rome,Berlin,Madrid,Rome
69,What is the chemical formula for table salt?,H2O,CO2,NaCl,O2,NaCl
77,Who discovered America?,Christopher Columbus,Leif Erikson,Ferdinand Magellan,James Cook,Christopher Columbus
68,Who is the author of "To Kill a Mockingbird"?,Harper Lee,J.D. Salinger,Ernest Hemingway,Mark Twain,Harper Lee
41,Who painted the ceiling of the Sistine Chapel?,Leonardo da Vinci,Michelangelo,Raphael,Donatello,Michelangelo
5,Which ocean is the largest?,Atlantic,Indian,Arctic,Pacific,Pacific
44,Who is the Greek god of the sea?,Zeus,Hades,Poseidon,Ares,Poseidon
21,Which is the longest river in the world?,Amazon,Nile,Mississippi,Thames,Nile
11,Which planet is closest to the sun?,Earth,Mars,Venus,Mercury,Mercury
14,Who discovered penicillin?,Marie Curie,Alexander Fleming,Isaac Newton,Albert Einstein,Alexander Fleming
53,What is the largest organ in the human body?,Heart,Liver,Skin,Brain,Skin
79,What is the hardest substance in the human body?,Bone,Tooth enamel,Hair,Nail,Tooth enamel
58,Which planet is known as the Earth's twin?,Mars,Jupiter,Venus,Saturn,Venus
60,Who was the first female Prime Minister of the UK?,Margaret Thatcher,Angela Merkel,Indira Gandhi,Golda Meir,Margaret Thatcher
43,Which planet is known for its rings?,Venus,Mars,Saturn,Jupiter,Saturn
45,What is the tallest mountain in the world?,K2,Kangchenjunga,Everest,Denali,Everest
17,Who is known as the Father of Computers?,Bill Gates,Charles Babbage,Steve Jobs,Alan Turing,Charles Babbage
29,Which is the smallest bone in the human body?,Femur,Humerus,Stapes,Ulna,Stapes
4,What is the smallest prime number?,0,1,2,3,2
59,What is the main ingredient in hummus?,Chickpeas,Lentils,Beans,Peas,Chickpeas
23,What is the largest planet in our solar system?,Earth,Mars,Jupiter,Saturn,Jupiter
1,What is the capital of France?,Paris,Rome,Berlin,Madrid,Paris
56,Who wrote "The Great Gatsby"?,Ernest Hemingway,Mark Twain,F. Scott Fitzgerald,John Steinbeck,F. Scott Fitzgerald
7,Who was the first President of the United States?,George Washington,Thomas Jefferson,John Adams,Benjamin Franklin,George Washington
16,Which ocean is the smallest?,Atlantic,Indian,Arctic,Pacific,Arctic
20,What is the currency of Japan?,Yuan,Dollar,Euro,Yen,Yen
13,What is the largest mammal?,Elephant,Whale,Shark,Giraffe,Whale
49,What is the atomic number of carbon?,4,6,8,12,6
34,Which country hosted the 2016 Summer Olympics?,China,UK,Brazil,USA,Brazil
65,Who painted "Starry Night"?,Monet,Van Gogh,Da Vinci,Picasso,Van Gogh
42,What is the main language spoken in Brazil?,Spanish,Portuguese,English,French,Portuguese
